titulo,descripcion,latitud,longitud,fechaHecho
Hecho 1,Descripción de prueba,-31.6333,-60.7000,2025-04-02 04:00:35.453609
Hecho 2,Descripción de prueba,-24.7821,-65.4232,2024-11-17 09:54:01.805893
Hecho 3,Descripción de prueba,-29.4173,-66.8580,2025-02-04 19:07:36.396690
Hecho 4,Descripción de prueba,-38.7196,-62.2650,2025-01-22 21:10:25.802490
Hecho 5,Descripción de prueba,-42.7822,-65.0312,2025-07-20 08:54:10.258306
Hecho 6,Descripción de prueba,-42.7822,-65.0312,2025-03-16 14:36:11.371256
Hecho 7,Descripción de prueba,-31.4167,-64.1833,2024-11-18 03:08:57.277886
Hecho 8,Descripción de prueba,-27.4698,-58.8345,2025-06-20 20:24:49.847110
Hecho 9,Descripción de prueba,-38.7196,-62.2650,2025-07-08 12:41:12.419085
Hecho 10,Descripción de prueba,-24.7821,-65.4232,2025-04-08 07:51:08.994336
Hecho 11,Descripción de prueba,-27.4698,-58.8345,2025-08-08 03:52:14.101102
Hecho 12,Descripción de prueba,-34.6037,-58.3816,2025-02-15 21:12:15.050500
Hecho 13,Descripción de prueba,-31.6333,-60.7000,2025-02-09 11:17:09.871724
Hecho 14,Descripción de prueba,-42.7822,-65.0312,2025-08-01 05:35:04.132753
Hecho 15,Descripción de prueba,-32.9500,-60.6667,2024-11-18 18:55:14.806998
Hecho 16,Descripción de prueba,-32.9500,-60.6667,2025-07-13 21:06:46.647313
Hecho 17,Descripción de prueba,-42.7822,-65.0312,2024-11-19 07:25:15.642451
Hecho 18,Descripción de prueba,-26.8206,-65.2030,2025-07-16 04:17:35.877600
Hecho 19,Descripción de prueba,-38.7196,-62.2650,2025-01-01 23:17:06.451738
Hecho 20,Descripción de prueba,-34.6037,-58.3816,2025-02-24 05:00:17.730413
Hecho 21,Descripción de prueba,-24.7821,-65.4232,2025-07-15 21:58:36.954055
Hecho 22,Descripción de prueba,-31.6333,-60.7000,2025-05-10 18:27:25.606886
Hecho 23,Descripción de prueba,-24.7821,-65.4232,2025-02-15 21:18:03.878289
Hecho 24,Descripción de prueba,-34.6037,-58.3816,2024-11-16 17:05:03.527929
Hecho 25,Descripción de prueba,-34.6037,-58.3816,2024-10-11 04:07:17.285088
Hecho 26,Descripción de prueba,-24.7821,-65.4232,2025-08-13 13:54:09.734462
Hecho 27,Descripción de prueba,-31.4167,-64.1833,2025-03-28 22:39:33.418179
Hecho 28,Descripción de prueba,-31.6333,-60.7000,2024-12-01 19:47:03.805176
Hecho 29,Descripción de prueba,-38.7196,-62.2650,2025-08-27 20:45:03.401479
Hecho 30,Descripción de prueba,-42.7822,-65.0312,2024-10-27 23:42:04.643842
Hecho 31,Descripción de prueba,-38.7196,-62.2650,2025-02-19 02:43:05.454956
Hecho 32,Descripción de prueba,-42.7822,-65.0312,2024-10-15 11:03:04.227728
Hecho 33,Descripción de prueba,-26.8206,-65.2030,2025-03-18 18:57:32.819001
Hecho 34,Descripción de prueba,-38.7196,-62.2650,2025-03-17 12:20:18.192467
Hecho 35,Descripción de prueba,-31.6333,-60.7000,2025-03-15 23:24:02.192631
Hecho 36,Descripción de prueba,-42.7822,-65.0312,2025-06-25 17:44:20.617350
Hecho 37,Descripción de prueba,-27.4698,-58.8345,2025-03-31 01:47:26.316611
Hecho 38,Descripción de prueba,-31.4167,-64.1833,2025-02-04 01:55:34.068367
Hecho 39,Descripción de prueba,-31.6333,-60.7000,2025-03-15 09:24:26.294724
Hecho 40,Descripción de prueba,-31.6333,-60.7000,2025-06-04 23:32:00.776390
Hecho 41,Descripción de prueba,-31.4167,-64.1833,2024-10-04 17:20:46.481541
Hecho 42,Descripción de prueba,-29.4173,-66.8580,2024-10-29 05:41:12.913881
Hecho 43,Descripción de prueba,-38.7196,-62.2650,2024-09-30 18:48:36.028516
Hecho 44,Descripción de prueba,-42.7822,-65.0312,2024-11-09 19:43:20.439065
Hecho 45,Descripción de prueba,-32.9500,-60.6667,2025-04-21 18:32:45.133360
Hecho 46,Descripción de prueba,-42.7822,-65.0312,2025-01-22 02:22:45.931926
Hecho 47,Descripción de prueba,-38.7196,-62.2650,2025-04-13 17:25:34.491928
Hecho 48,Descripción de prueba,-31.4167,-64.1833,2025-03-03 10:59:14.014317
Hecho 49,Descripción de prueba,-42.7822,-65.0312,2024-09-20 08:36:20.331656
Hecho 50,Descripción de prueba,-38.7196,-62.2650,2025-03-06 12:09:57.848810
Hecho 51,Descripción de prueba,-26.8206,-65.2030,2025-04-05 06:19:07.711319
Hecho 52,Descripción de prueba,-31.6333,-60.7000,2025-08-08 04:51:51.899217
Hecho 53,Descripción de prueba,-29.4173,-66.8580,2024-10-17 15:19:49.518563
Hecho 54,Descripción de prueba,-29.4173,-66.8580,2024-11-02 07:15:42.597824
Hecho 55,Descripción de prueba,-27.4698,-58.8345,2024-11-29 02:01:16.405765
Hecho 56,Descripción de prueba,-27.4698,-58.8345,2024-11-26 05:49:11.068279
Hecho 57,Descripción de prueba,-31.6333,-60.7000,2025-03-30 07:41:18.014568
Hecho 58,Descripción de prueba,-31.6333,-60.7000,2025-01-23 19:10:18.412351
Hecho 59,Descripción de prueba,-27.4698,-58.8345,2025-08-26 10:25:38.430333
Hecho 60,Descripción de prueba,-32.9500,-60.6667,2025-08-13 01:48:36.728241
Hecho 61,Descripción de prueba,-27.4698,-58.8345,2025-05-07 00:43:52.971346
Hecho 62,Descripción de prueba,-32.9500,-60.6667,2025-07-29 19:56:20.288086
Hecho 63,Descripción de prueba,-29.4173,-66.8580,2025-09-01 12:21:37.356168
Hecho 64,Descripción de prueba,-42.7822,-65.0312,2025-01-22 05:23:02.730997
Hecho 65,Descripción de prueba,-38.7196,-62.2650,2025-02-12 05:31:53.179947
Hecho 66,Descripción de prueba,-38.7196,-62.2650,2025-04-10 08:27:00.820466
Hecho 67,Descripción de prueba,-31.4167,-64.1833,2024-11-07 15:47:57.377636
Hecho 68,Descripción de prueba,-29.4173,-66.8580,2024-12-17 03:08:18.759962
Hecho 69,Descripción de prueba,-38.7196,-62.2650,2025-05-20 20:50:01.278738
Hecho 70,Descripción de prueba,-38.7196,-62.2650,2025-07-04 16:23:06.376707
Hecho 71,Descripción de prueba,-38.7196,-62.2650,2025-01-18 14:11:15.900671
Hecho 72,Descripción de prueba,-31.4167,-64.1833,2025-07-24 21:10:14.178137
Hecho 73,Descripción de prueba,-34.6037,-58.3816,2025-04-21 10:32:02.820534
Hecho 74,Descripción de prueba,-27.4698,-58.8345,2025-05-26 20:51:42.166908
Hecho 75,Descripción de prueba,-34.6037,-58.3816,2025-08-02 04:48:35.944506
Hecho 76,Descripción de prueba,-29.4173,-66.8580,2025-02-18 00:25:18.987149
Hecho 77,Descripción de prueba,-26.8206,-65.2030,2025-01-01 10:19:39.915482
Hecho 78,Descripción de prueba,-42.7822,-65.0312,2025-06-12 12:56:44.381648
Hecho 79,Descripción de prueba,-34.6037,-58.3816,2025-09-09 07:51:46.168359
Hecho 80,Descripción de prueba,-34.6037,-58.3816,2024-09-20 17:50:02.516404
Hecho 81,Descripción de prueba,-24.7821,-65.4232,2025-04-28 06:29:23.825679
Hecho 82,Descripción de prueba,-31.6333,-60.7000,2024-11-23 04:33:16.439734
Hecho 83,Descripción de prueba,-34.6037,-58.3816,2025-01-24 08:53:28.001676
Hecho 84,Descripción de prueba,-31.4167,-64.1833,2024-11-27 02:04:05.155884
Hecho 85,Descripción de prueba,-26.8206,-65.2030,2025-01-10 11:14:41.281469
Hecho 86,Descripción de prueba,-24.7821,-65.4232,2025-05-08 17:22:37.707814
Hecho 87,Descripción de prueba,-31.4167,-64.1833,2025-06-29 15:00:30.649502
Hecho 88,Descripción de prueba,-29.4173,-66.8580,2025-04-01 04:14:39.083319
Hecho 89,Descripción de prueba,-27.4698,-58.8345,2025-03-07 07:00:06.798171
Hecho 90,Descripción de prueba,-24.7821,-65.4232,2025-08-04 19:47:29.063194
Hecho 91,Descripción de prueba,-27.4698,-58.8345,2024-09-27 02:14:24.195591
Hecho 92,Descripción de prueba,-34.6037,-58.3816,2025-06-23 13:51:17.117049
Hecho 93,Descripción de prueba,-38.7196,-62.2650,2025-04-29 05:16:56.482675
Hecho 94,Descripción de prueba,-34.6037,-58.3816,2025-08-30 19:50:05.489295
Hecho 95,Descripción de prueba,-27.4698,-58.8345,2024-11-28 22:27:45.782689
Hecho 96,Descripción de prueba,-42.7822,-65.0312,2025-05-18 18:28:28.923509
Hecho 97,Descripción de prueba,-32.9500,-60.6667,2025-06-10 22:10:51.458080
Hecho 98,Descripción de prueba,-32.9500,-60.6667,2025-07-19 12:57:44.872642
